priority_rank,sku_id,category,product_name,mrp_rupees,selling_price_rupees,discount_percent,available_quantity,weight_gms,is_out_of_stock,stockout_rate_pct,available_inventory_value_rupees,priority_score
206,1800,"Ice Cream & Desserts","ITC Master Chef Cheesy Corn Triangles",160.0,152.0,5,0,320,1,11.6,0.0,50
207,2221,Munchies,"Chef's Basket Durum Wheat Penne Pasta",160.0,80.0,50,0,500,1,12.45,0.0,50
208,3029,"Packaged Food","Chef's Basket Durum Wheat Penne Pasta",160.0,80.0,50,0,500,1,11.6,0.0,50
209,3109,"Packaged Food","ITC Master Chef Cheesy Corn Triangles",160.0,152.0,5,0,320,1,11.6,0.0,50
210,424,"Chocolates & Candies","Kissan Mixed Fruit Jam",155.0,155.0,0,0,500,1,11.6,0.0,50
211,1839,"Ice Cream & Desserts","Kissan Mixed Fruit Jam",155.0,155.0,0,0,500,1,11.6,0.0,50
212,3148,"Packaged Food","Kissan Mixed Fruit Jam",155.0,155.0,0,0,500,1,11.6,0.0,50
213,1014,"Cooking Essentials","Popular Essentials Phool Makhana (Jumbo Size)",150.0,128.0,14,0,100,1,12.45,0.0,50
214,2492,Munchies,"Popular Essentials Phool Makhana (Jumbo Size)",150.0,128.0,14,0,100,1,12.45,0.0,50
215,2669,"Paan Corner","Clean & Clear Morning Energy Lemon Face Wash",145.0,131.0,9,0,100,1,6.14,0.0,50
216,3401,"Personal Care","Clean & Clear Morning Energy Lemon Face Wash",145.0,131.0,9,0,100,1,6.14,0.0,50
217,1675,"Home & Cleaning","Surf Excel Easy Wash Detergent Powder",136.0,131.0,3,0,1000,1,9.84,0.0,50
218,657,"Chocolates & Candies","Yummiez Green Peas",135.0,135.0,0,0,500,1,11.6,0.0,50
219,2072,"Ice Cream & Desserts","Yummiez Green Peas",135.0,135.0,0,0,500,1,11.6,0.0,50
220,3381,"Packaged Food","Yummiez Green Peas",135.0,135.0,0,0,500,1,11.6,0.0,50
221,2660,"Paan Corner","Bajaj Almond Drops Hair Oil Bottle",130.0,120.0,7,0,200,1,6.14,0.0,50
222,3392,"Personal Care","Bajaj Almond Drops Hair Oil Bottle",130.0,120.0,7,0,200,1,6.14,0.0,50
223,1138,"Cooking Essentials","Tata Sampann Kala Chana",125.0,125.0,0,0,1000,1,12.45,0.0,50
224,2616,Munchies,"Tata Sampann Kala Chana",125.0,125.0,0,0,1000,1,12.45,0.0,50
225,850,"Cooking Essentials","Fortune Besan Flour",120.0,120.0,0,0,1000,1,12.45,0.0,50
226,2328,Munchies,"Fortune Besan Flour",120.0,120.0,0,0,1000,1,12.45,0.0,50
227,2959,"Paan Corner","Sensodyne Sensitive Fresh Gel Toothpaste",115.0,106.0,7,0,75,1,6.14,0.0,50
228,3691,"Personal Care","Sensodyne Sensitive Fresh Gel Toothpaste",115.0,106.0,7,0,75,1,6.14,0.0,50
229,894,"Cooking Essentials","Keya Italian Pizza Oregano",109.0,97.0,11,0,80,1,12.45,0.0,50
230,2372,Munchies,"Keya Italian Pizza Oregano",109.0,97.0,11,0,80,1,12.45,0.0,50
231,2713,"Paan Corner","Dettol Original Liquid Handwash Refill",109.0,105.0,3,0,750,1,6.14,0.0,50
232,3445,"Personal Care","Dettol Original Liquid Handwash Refill",109.0,105.0,3,0,750,1,6.14,0.0,50
233,345,"Chocolates & Candies","Ching's Secret Veg Hakka Noodles",107.0,107.0,0,0,600,1,11.6,0.0,50
234,756,"Cooking Essentials","Ching's Secret Veg Hakka Noodles",107.0,107.0,0,0,600,1,12.45,0.0,50
